song_id, valence_mean, valence_std, arousal_mean, arousal_std
2,3.1,0.94,3,0.63
3,3.5,1.75,3.3,1.62
4,5.7,1.42,5.5,1.63
5,4.4,2.01,5.3,1.85
7,5.8,1.47,6.4,1.69
8,3.2,1.4,4.8,1.54
10,4,1.67,4.7,1.85
12,5.5,1.91,5.8,1.89
13,3.2,1.4,4,1.67
17,4.4,1.8,6,2.05
18,4.8,1.72,3.9,1.37
19,5.9,1.64,4.3,1.9
20,5.4,2.5,6.5,2.11
21,6.6,0.92,6.3,1.42
22,4,1.34,4.8,1.47
24,5.3,1.62,3.9,1.76
25,7.9,0.7,4.7,2.53
31,4.7,1.55,3.8,1.54
32,4.2,1.78,3.3,1.49
35,4.8,2.14,6.5,2.11
37,6.6,2.11,5.3,2
39,7.3,1.85,5.4,2.37
40,4.6,1.28,4.8,1.54
41,4.3,1.62,5.1,1.3
42,6.1,1.58,5.1,1.92
43,6.7,2.33,3.5,1.5
44,3.9,1.04,4.9,1.58
45,5.1,2.43,2.1,1.37
46,5.3,1.95,4,1.73
47,4.4,1.74,4.4,1.56
48,4.5,1.86,4.8,1.78
49,3.9,1.3,5.3,1.19
50,3.6,1.02,4.8,1.08
51,3.6,1.11,3.2,0.98
52,4.6,1.11,5.1,1.81
53,4.3,2.37,5.1,1.7
54,3.1,1.58,3.3,1.62
55,5.8,1.33,5.4,1.11
56,6.4,1.43,5.8,1.4
58,3.3,1.55,3.4,1.56
59,5.3,1.73,4.1,1.92
60,4.3,1.49,6.4,0.49
62,6.2,0.87,3.9,1.22
64,3.6,1.28,4.9,1.58
65,6.4,1.43,5.8,1.83
67,7.2,0.75,6.8,1.4
68,3.8,1.33,4.9,1.64
69,3.2,0.87,3.9,0.83
70,4.4,1.69,3.6,1.43
71,5.9,1.51,3.7,0.78
72,6.7,1.73,5.6,2.01
73,5.8,1.72,5.6,1.74
74,3,1.67,4.3,1.42
76,4.3,1.42,3.2,1.83
77,4.2,2.04,2.9,1.14
78,3.4,1.56,3.9,1.92
79,5.5,2.11,5.5,1.36
80,6,1.34,5.1,1.37
81,6.1,1.92,3.9,1.7
82,2.9,1.45,3.5,1.63
83,6.1,1.04,5.8,1.72
84,5.9,2.02,5.6,1.74
85,7.1,1.14,6.2,1.6
86,5.4,1.62,5.6,1.2
87,5.3,2.45,2.6,0.92
88,6.7,1.73,5.5,1.28
89,4.5,2.29,4.8,2.04
90,4.3,1.73,4.2,1.72
91,4.5,1.43,5.5,1.2
92,5.8,2.18,4.7,1.79
93,7.2,0.75,6,1.73
95,3.3,1.85,4.6,2.2
96,6.8,1.33,6.9,1.3
98,4.3,1.73,2.7,1.42
99,4.3,1.85,4.1,1.97
101,3.4,1.62,2.8,0.87
102,6.5,0.92,5.4,1.56
103,5.6,1.91,3.3,1.79
104,6.1,1.81,3.3,1.79
105,6.5,1.43,5,1.41
106,4.6,1.5,3.3,1.19
107,6,2,4.8,2.14
108,4.5,1.63,4.2,1.94
109,4.4,2.24,4.5,1.5
110,4.4,1.8,2.8,0.87
111,5.3,1.27,5.3,1.42
112,6.8,0.98,6.4,1.56
113,5.4,1.28,3.8,0.87
114,4.8,0.75,5.7,0.9
115,8.4,0.66,7.8,1.17
116,4.4,1.56,3.9,1.22
117,3.9,1.45,5,1.73
118,4.9,1.92,4.6,1.85
119,4.3,2.28,3.2,1.25
120,3.8,1.6,5,1.61
121,3.1,0.83,3.9,1.51
122,5.5,1.91,4.6,1.85
123,6.1,1.58,6.2,1.47
124,3.7,1.27,2.8,0.75
125,4.5,1.86,4.2,1.33
126,5.1,1.64,6.1,1.37
127,3,1.84,5.3,1.68
128,3.6,1.43,4,1.55
129,4.2,1.72,6,1.67
130,3.3,1.42,4.2,1.33
131,6.1,1.04,4.9,1.64
133,2.8,1.99,2.2,1.17
134,5.4,1.74,6,1.18
135,3.7,2.24,3.5,1.43
136,6.8,1.33,6.2,1.08
137,4.3,1.68,5.8,1.33
138,3.8,2.64,2.4,0.92
140,4.2,1.47,4.5,2.01
142,4.6,1.8,4.8,1.72
143,4,1.73,4.9,1.45
144,3.4,1.11,4.7,0.9
145,3.1,1.92,5.4,1.91
146,2.4,1.8,3.5,1.91
148,4.7,1.19,5,2.05
149,3.4,1.85,3.1,1.92
150,5,2.45,5.4,2.2
151,4,1.95,4.5,1.28
152,4.4,1.62,5.6,1.43
153,3.9,1.92,4.5,1.69
154,4.2,1.66,4.1,1.87
155,3.6,1.96,5.4,0.92
156,6.4,1.2,6.7,0.46
157,4,1.67,6.2,1.08
158,2.1,0.7,3.6,1.43
159,3.8,2.56,3.1,1.81
160,3.5,2.11,3.5,1.57
161,6.3,1.19,3.5,1.91
162,3.7,1.68,4.6,1.02
163,3.6,1.28,4.5,1.36
164,4.1,1.7,2.9,1.97
166,3.1,1.45,4.2,1.08
167,2.7,1.35,3.3,1.62
168,3.3,1.35,3.4,1.56
169,2.4,0.8,2.8,1.08
170,3,1.55,5,1.48
171,2.1,0.7,3.6,1.74
172,3.8,2.23,5,2.24
173,4.6,1.69,2.2,1.17
174,4,1.61,3.8,1.4
175,3.7,1.35,4.3,1.55
176,2.4,1.62,3.9,1.58
177,4.8,1.4,5.6,1.74
178,2.8,2.09,3.7,2.1
179,5.2,2.04,6,1.95
180,4.8,1.89,5.9,1.37
181,3.7,2.1,2.5,0.92
182,2.2,0.87,3.7,2.05
184,3.6,1.85,3.4,1.11
185,4.9,1.92,4.6,1.36
186,3.7,1.68,4,1.61
187,2.5,1.86,3.7,1.95
188,4,1.55,3.3,1.55
189,6.5,1.63,7.1,1.58
190,2.8,1.83,3.1,1.3
191,5.1,2.02,6.3,1.9
192,5.8,0.6,6.1,0.54
193,4.1,1.81,3,1.34
194,2.7,1.79,4.7,1.27
195,4.2,1.94,2.7,0.78
196,4.3,1.68,4.5,1.63
197,2.2,1.4,2.8,1.33
198,1.9,0.7,3.3,1.79
199,5.3,1.49,5.7,1.27
201,3.7,1.49,4.8,1.54
202,4.6,1.36,5.2,1.4
203,3.5,1.96,4.8,1.66
204,3.6,2.01,2.2,0.98
205,3,1.41,4.5,2.01
206,2.3,0.78,2.6,1.02
207,4.8,2.09,4.8,2.44
208,4.8,2.04,6.5,1.02
209,3.1,0.94,4.6,1.85
210,4.2,2.14,5.5,2.16
211,3.1,1.22,4.9,0.83
212,4.6,1.56,5.4,1.8
213,2.6,1.5,2.5,1.63
214,3.6,1.96,4.1,1.58
215,3.2,2.09,2.6,1.2
216,4.5,1.57,5.3,1.1
217,3.5,1.57,4.8,1.6
218,2.9,1.37,4,1.48
219,2.4,0.8,3.8,1.47
220,4.1,1.51,3.4,1.02
221,4.3,1.55,3.4,1.8
222,3.8,1.33,4.3,2.37
223,2.2,1.08,3.5,2.16
224,5.5,1.5,5.7,1.79
225,3.7,1.85,4.2,1.6
226,4.9,1.7,5,1.55
227,3.1,1.14,3.5,1.5
228,3.5,1.63,4,1.26
229,4.8,1.6,4.8,1.47
231,4.1,1.45,5.6,1.69
232,2.5,1.75,2.7,1
233,4.7,1.49,4.5,1.8
234,3.5,2.38,3.9,1.45
235,3,1.1,3.7,1.35
236,2.5,1.5,2.4,1.2
237,4.2,2.09,3.9,1.3
238,3,1.95,4.6,1.8
239,2.3,1.9,3.3,1.55
240,6.4,1.36,6.6,1.02
241,4.1,2.12,4.6,1.36
242,3.5,1.75,4.7,1.55
243,7.2,1.4,4.1,2.17
244,4.3,1.35,4.2,1.66
245,4.2,1.99,6.1,1.58
246,4.9,2.66,3.2,2.04
247,3.9,1.22,4.5,1.28
248,3.4,1.56,3.7,1
250,3.4,2.06,3.6,1.36
253,6.6,1.56,2.5,0.81
254,5.3,2.28,7.4,1.11
257,7.6,1.5,6.9,1.7
258,4.3,1.35,4.3,1.35
260,5.3,1.42,3.6,1.62
262,5.6,1.5,6.9,0.94
264,5.3,1.27,5.5,1.5
265,4.5,1.69,6.4,0.66
266,3.6,1.5,4.8,1.94
269,4.3,1.73,4.8,1.94
270,6.1,1.64,7.1,1.64
272,5.9,1.81,6.4,1.85
273,5.4,1.74,7.2,0.87
274,7.7,0.9,6,2
275,5.3,1.42,5.5,1.02
276,6.1,1.51,5.3,1.68
278,5.5,2.06,5.1,1.64
279,3.6,1.2,4.7,1.42
280,4.2,1.66,3.3,1.1
281,5.4,2.29,7,1.18
282,3.2,1.66,4.2,0.75
284,4.4,1.5,5.2,1.17
285,3.5,1.02,5.1,1.37
286,5.7,1.95,6.9,1.87
288,3.5,1.86,5.2,1.78
289,5.7,1.9,6.7,1
290,2.1,0.83,3.9,1.58
292,7.3,1,7.4,0.92
293,6.3,1.62,4.2,1.94
294,5.5,2.11,6.5,1.91
296,5.9,0.94,5.7,1.27
297,3.1,1.3,3.6,1.36
298,4,1.73,5.4,1.69
299,2.8,1.89,4.3,1.27
300,6.8,1.08,4.5,1.86
301,3.2,1.47,3.7,1.73
302,6.6,2.2,7,1.48
303,7,1.1,6.4,1.74
304,3.8,1.78,4.6,1.69
305,6.4,1.11,6.8,0.98
306,5.7,2.19,6.7,1.73
307,6.1,1.04,6.8,1.4
308,4.3,1.68,6.6,0.92
309,5.3,1.68,5.8,1.78
310,2.1,0.83,2.7,1
311,5.8,1.6,6.9,0.94
312,4.6,1.28,5.8,1.6
313,3.6,1.36,5.3,1.27
314,5.8,1.17,5.9,1.22
315,6.4,1.43,7.5,0.81
316,2.8,1.33,3.5,1.96
317,6.1,1.7,4.3,1.35
318,5.9,1.7,5.9,1.45
319,4.5,1.96,6.6,0.8
320,7.4,1.28,6.6,1.43
321,7.3,0.78,6,1.73
322,6.1,1.22,7.6,1.02
323,4.82,1.4,5.73,1.48
324,3.3,1.68,4.7,1.42
325,5.5,1.75,5.4,2.06
326,5.4,1.56,7.2,1.25
327,6,1.34,7.1,1.3
328,5.2,1.6,4.2,2.09
329,3.3,2.28,4.2,2.23
330,5.9,2.3,3.1,1.87
332,5.5,1.12,6.9,0.83
333,6.7,1.55,6.1,1.7
334,5.9,1.64,5.9,1.92
335,6.8,1.47,6.8,1.33
336,6.1,1.51,6.6,1.5
338,3,0.77,3.8,1.47
339,5.9,1.58,6.9,1.14
340,3.8,2.36,4.6,1.91
341,3.8,1.78,4.4,1.69
342,4,2.05,5.1,2.12
343,7,1.73,8.1,0.83
344,4.6,1.74,5.2,1.6
345,7.2,1.54,6.5,1.86
346,6.7,1,7.3,1.55
347,3.82,0.94,5.82,0.94
348,5,1.55,5.7,1.73
349,4.6,1.69,5.8,1.89
350,6,1.9,6.5,1.8
352,5.5,1.36,4.5,1.43
353,4,1.95,4.8,2.04
354,7.1,0.94,6.4,1.28
355,5.1,1.81,6.5,1.2
356,4.6,1.85,5.6,1.36
357,4.8,1.4,6.5,1.2
358,5.6,1.43,4.2,1.6
359,2.5,1.12,3.7,1.62
360,2.5,1.36,5.5,1.57
361,2.55,1.3,3.36,1.61
362,4,1.67,5.9,0.83
364,5.5,1.43,6.5,1.12
365,6,1.55,7.1,0.83
366,6.9,0.94,6.1,1.3
367,3.1,1.58,2.7,0.64
368,4.8,1.83,6.1,1.58
369,2.9,0.7,3.4,0.8
370,3.8,1.89,3.4,1.8
371,5.2,1.6,6.6,1.02
372,3.6,1.2,4.8,1.72
374,7,1,4.9,1.14
375,1.9,0.7,2.8,1.66
376,5,1.48,5.9,1.14
378,5.5,1.8,5.9,1.64
379,1.9,0.94,2.9,1.14
380,5.6,1.28,4.8,2.04
381,6,1.67,6.7,1.1
383,4.2,2.09,3.6,1.56
384,3.6,1.36,4.1,1.58
386,5,1.1,5.5,1.75
387,6.2,2.27,6.2,2.52
390,5.7,1,6.2,0.6
391,5.5,1.57,6.1,0.94
392,3.4,1.69,4.8,1.47
393,6,0.77,6.4,0.66
395,6.7,1.27,6.2,1.4
397,7,1.26,7,1.34
399,6.7,0.9,7,1
400,5.1,1.7,5.6,1.11
401,5.5,1.43,6.4,1.2
402,7.1,1.04,7.1,0.94
403,5.1,1.64,5.2,1.66
404,6.9,1.37,6.8,1.33
405,6.1,1.92,7.4,0.92
406,5.3,2.1,4.3,2.19
407,4.3,1.68,4.5,1.63
408,6.6,2.37,6.1,2.02
410,3.8,1.99,5.1,1.7
415,6,1.1,5.2,1.83
416,5.5,1.75,5.2,1.6
419,3.3,2,4,1.41
420,4.5,1.28,5.4,1.28
422,2.8,1.72,3.7,2.45
423,5.2,2.48,4.5,2.29
425,7.1,0.7,6.8,0.87
426,5.3,1.68,5.3,1.42
427,5.2,1.47,5.8,0.75
428,6.6,1.02,6.6,0.92
429,3.3,1.1,4.3,1.9
430,4,2.24,2.9,1.04
431,6.1,1.76,5.5,1.91
432,5.3,2,5.3,1.68
435,4.5,1.75,5.9,1.51
436,4.3,2,5.2,1.83
437,5.2,1.83,4.3,2.1
440,5.3,2.15,6.3,1.73
441,4.6,1.69,5.1,1.51
442,4.1,1.87,4.5,1.57
444,2.3,1.1,2.5,1.2
445,2.4,1.02,4.6,1.62
448,6.7,1.95,6.5,1.96
449,3.6,2.06,3.8,1.83
450,4.1,2.02,5,1.73
451,4.9,1.3,4.4,1.8
452,5.45,1.53,6.75,1.44
453,4.6,1.8,5.6,1.2
454,5,2.45,4.8,1.47
455,5.4,1.74,5.7,1.19
456,6.1,2.7,2.3,1.27
458,3.4,1.69,5,1.79
459,6.3,0.78,6.1,1.22
460,3.8,2.09,3.8,1.72
461,4.8,1.4,4.4,1.56
462,5.8,1.66,4.6,2.06
463,5,2.05,5.7,1.68
464,5.1,1.22,5.6,1.5
466,6.6,1.56,5.9,1.22
467,5.7,2.19,6.8,1.17
468,3.6,1.62,3.4,2.15
469,5.1,1.58,5.3,0.9
472,6.5,2.11,5.2,1.54
473,7.1,1.22,5.5,2.2
475,5.6,2.01,5,2
477,7.1,1.51,7.2,1.17
478,2.8,1.17,3.2,1.08
479,4.5,1.8,5.7,0.9
480,2.7,1.62,4.1,1.14
481,3.4,1.56,4.7,1.95
482,1.9,0.7,3.5,2.2
484,6.4,1.28,6.5,1.28
485,2.6,0.92,3.7,1.42
486,6.2,1.83,5.7,1.62
487,4.5,1.57,5.3,1.19
488,1.6,0.8,3.4,1.28
489,4.6,1.74,5.2,1.78
490,3.9,1.51,3.7,1.68
492,4.4,1.91,4.8,1.72
493,3.7,1.55,4.9,1.14
494,3.7,1.62,4.1,1.7
496,4.7,2.15,5.9,1.81
497,6.2,1.54,5.7,2.24
498,2.9,1.87,2.8,1.47
499,3.6,1.56,3.6,1.56
500,6,1.79,5.2,1.66
501,2.5,1.12,4.4,0.92
502,4.8,1.78,4.6,1.62
503,5.8,1.66,6.4,1.02
504,4.8,0.87,4,0.77
506,2.9,0.94,4.1,1.37
507,4.9,1.14,4.8,1.17
512,5.1,1.7,5.4,1.91
513,3.1,1.64,4.2,1.47
514,4.3,1.85,5.8,1.89
515,3.8,1.4,3.4,1.2
518,4.1,1.7,3.4,1.11
519,6.8,1.83,5.3,1.79
520,4,1.55,5.5,1.36
521,3.8,1.54,4.6,2.06
522,3.5,2.11,2.7,0.9
523,5.1,1.7,5.9,1.87
524,3.3,1.27,4,1.1
525,4.3,1.55,4.8,1.99
527,4,1.67,5.7,1.95
529,4.7,1.55,5.8,1.17
530,3.3,1.42,3.5,1.57
535,6.1,2.02,6.5,1.69
536,5.1,1.37,4.5,0.81
537,5,2.45,2.6,1.8
540,4.1,1.87,4.4,1.5
544,4.8,2.14,4.5,1.75
547,3.4,1.85,4.8,2.09
550,4.2,1.78,5.9,1.87
551,3.2,1.47,4,1.41
554,2.8,2.27,5,2.37
555,5.2,1.6,4.8,1.66
556,5.6,2.06,6.1,1.64
558,2.8,1.83,3.2,1.66
560,2.9,1.22,4.6,1.62
561,6.9,0.7,7,0.89
564,4.7,1.68,4.9,1.64
565,3.1,1.51,3,1
568,5.4,1.5,3.1,1.37
574,4.5,2.06,4.8,1.94
577,5.6,1.56,5.5,1.28
579,3.1,1.92,3.2,1.33
580,2.4,1.02,4.4,1.28
581,5.3,1.19,6,1
582,3.1,1.37,4.9,1.64
584,2.5,1.12,2.4,0.8
585,4,1.41,4.2,1.66
586,5.2,1.4,5.9,0.7
591,5.7,1.68,6.2,2.09
592,5.45,1.08,5.09,2.11
594,4.2,1.83,3.1,1.51
597,4.8,1.78,6.4,0.8
598,4,1.61,5.6,1.02
600,3.5,1.8,4,2.1
605,4.4,1.74,6,1.55
606,4.1,1.76,5.6,1.5
607,4.4,1.74,6.1,1.3
608,2.9,1.64,3.8,1.89
609,5.3,1.82,5.55,1.69
610,6.3,1.35,6.5,1.75
611,5.1,1.58,4.8,1.72
612,5.6,1.2,6.6,0.49
613,5.2,2.18,6.8,1.4
614,4.3,1.49,3.7,1.35
615,3.2,1.72,5,0.77
616,3.5,1.43,5,1.18
617,6.5,1.69,3,1.34
620,5.8,1.25,4.4,1.56
621,2.9,1.22,4.4,1.11
622,4.5,2.11,5,1.79
623,3.8,1.66,5.9,1.58
625,3.1,1.45,4.4,1.2
628,4.9,2.07,6.8,1.66
629,7.4,0.92,7.6,0.8
631,7.6,1.5,3.1,2.34
632,4.2,2.09,5.4,1.8
634,4.7,2.33,5.8,1.54
635,6.6,0.92,7.6,1.02
637,2.2,0.87,3.6,1.96
638,3.2,1.47,4.4,1.62
639,6.1,0.94,6.3,1.1
640,7.6,0.8,7.8,0.75
643,3.5,1.12,4.2,1.72
644,4.3,1.62,5.6,1.96
645,4.6,1.91,5.7,1.68
646,3.1,1.3,3.8,1.4
647,3,1,5.8,0.87
648,5.1,2.07,6.8,1.54
649,6.2,0.98,6.7,0.64
650,6,1,4.2,1.66
651,6.4,1.02,7.1,0.7
652,3.2,1.72,4.3,1.62
653,5.3,2,6.5,1.02
654,5.1,1.81,4.4,1.69
656,2.6,1.11,4.1,1.45
657,5.1,0.94,5.6,0.8
658,4.4,1.56,5.7,1.27
660,2.1,1.14,2.8,1.4
661,2.2,1.72,2.8,1.66
662,5.9,1.22,5.1,2.12
663,3.3,1.79,4.3,1.49
664,7,1,6.6,1.43
665,5.7,1.73,6.2,1.6
666,5.3,1.42,5,1.9
667,4.2,1.4,4.9,1.22
668,5,1.55,5.3,1.62
671,3.1,1.51,3.7,1.55
672,4.4,2.33,6.3,1.73
673,6.6,1.28,6.7,1.35
674,6.8,1.33,7.4,1.36
675,5.1,1.45,5.8,1.25
676,6.6,2.37,6.6,2.37
677,6.5,1.91,5.3,1.79
681,4.9,2.12,6.6,1.74
682,4.8,1.33,6,0.77
684,4.3,1.62,4.9,1.45
685,4.5,2.01,3.6,2.01
686,3.4,1.56,5.5,1.43
687,7.3,1.1,7.4,0.92
688,4.3,1.42,5,1.61
689,3.8,1.66,4.6,1.43
690,2.4,2.01,4.4,2.06
691,5,1.61,3.7,1.27
692,6.9,1.37,6.1,1.7
693,6.2,1.6,5.3,1.95
695,5.9,1.58,6.2,1.72
696,5.3,2.24,5.8,2.23
697,4.8,1.54,5.8,1.08
698,3.9,1.92,3.7,1.62
699,3.7,1.79,4.5,1.5
700,4.8,1.4,5.6,1.36
702,7.5,1.43,3.3,1.95
703,5.1,2.02,6,1.61
704,4.1,1.04,4.2,1.4
706,5.5,0.81,6,0.89
707,3.2,2.52,3.1,1.81
708,3.2,2.18,3.2,1.6
709,5.8,1.47,5,1.79
710,5.4,1.36,5.1,1.3
711,2.9,1.14,3.1,1.14
712,3.4,1.11,5.3,1.42
713,4.9,2.17,6.3,2
714,4.4,1.8,4.8,1.78
715,2.9,1.37,4.3,1.68
717,4.5,1.28,4.9,1.22
718,5.9,1.58,6.5,1.63
719,7.1,1.14,7.2,1.17
721,5.7,1.79,5.5,1.02
722,5.7,1.55,7,0.63
723,6.5,1.75,7.2,1.08
724,6,1,6.1,1.04
725,5.1,1.7,5.1,1.45
726,7,2.14,3.6,1.74
727,4.3,1.68,4.5,1.86
728,6.9,1.76,7.5,1.2
729,6.4,1.02,3.5,1.57
730,3.7,1.62,4.5,1.02
731,7.3,1.62,5.8,1.78
732,5.6,1.74,6.3,0.9
733,4.3,1.42,5,1.48
734,5.7,1.79,6.3,1.55
735,4.3,1,4.9,0.94
736,2.7,1.42,3.7,0.9
737,4.1,0.94,4.9,1.22
738,5.5,1.43,6.2,1.33
739,6.2,1.54,6.9,0.94
740,3.7,1.79,4,1.34
741,4.6,1.5,4.4,1.5
742,6.1,2.12,6.5,1.63
743,3.1,1.45,5,1.95
744,6.1,1.3,5.5,1.12
745,4.2,1.08,1.6,0.66
746,3.7,1.73,4.6,1.91
747,3.6,1.36,4.9,1.22
748,5.1,1.92,4.4,1.56
749,4.2,1.25,4.9,1.37
750,5.3,2,5.7,1.9
756,5.9,1.87,6.8,0.75
757,6,1.26,6.1,1.37
758,4.8,1.89,5.9,1.04
759,6.7,0.9,5.9,1.14
763,3.5,1.43,5.5,1.36
764,6.3,1.62,7.5,0.92
767,5.2,1.25,6.5,0.5
